Moves,Rating
4,700
5,800
6,803
6,901
6,850
7,923
7,955
7,889
7,998
7,925
7,992
8,1161
8,1100
8,1135
8,998
8,1201
8,1197
8,1804
8,1311
8,848
8,989
9,1200
9,1069
9,1020
9,1101
10,1122
10,1109
10,1120
11,1150
11,1207
11,861
11,1098
11,1126
11,1186
11,1171
11,1183
11,1105
12,1115
13,1100
13,1027
13,1187
13,1557
13,1292
13,1198
14,1145
14,1140
14,1371
14,1323
14,1120
14,1205
15,1160
15,1147
15,1624
15,1720
15,1111
15,1118
15,1111
16,1155
16,1078
16,1832
16,1111
16,1078
16,1098
16,1072
17,1703
17,1607
17,1243
17,1172
17,1115
17,1212
18,1369
18,1163
18,1208
18,1146
19,1627
19,1181
19,1439
19,1120
20,1210
20,1832
21,1869
21,1377
21,1957
21,1198
21,1341
21,1212
21,1201
21,1172
21,1094
22,1060
22,1120
23,1750
23,1557
23,1078
23,1198
23,1192
23,1561
23,1559
23,1172
23,1630
23,1120
23,1212
24,1030
24,1257
24,1196
24,1208
24,1168
24,1334
25,1927
25,1402
25,1315
25,1348
25,1099
25,1415
25,1315
26,1496
26,1348
26,1297
26,1057
26,1083
27,1200
27,1094
27,1563
27,1289
27,1630
27,1402
27,1315
27,1415
27,1315
27,1120
27,1196
28,1674
28,1715
28,1502
28,1307
28,1315
28,1196
28,1145
29,1602
29,1573
29,1415
29,1316
29,1449
29,1341
30,1902
30,1699
30,1762
30,1402
30,1201
30,1402
30,1196
30,1345
30,1762
30,1183
30,1212
31,1689
31,1700
31,1449
32,1872
32,1172
32,1283
32,1630
32,1762
32,1224
33,1710
33,1602
34,1747
34,1756
34,1760
34,1630
34,1315
34,1998
34,1402
36,1961
37,1813
38,1683
38,1630
41,1889
41,1762
41,1762
42,1798
42,1630
42,1808
42,1762
43,1802
47,1810
47,1892
47,1630
47,1762
48,2002
48,1762
48,1630
49,1985
53,1992
55,1630
70,1803
70,2400
70,2864
70,2500
70,2100
70,2134
70,2247
70,2498
70,2548
70,2177
70,2098
70,2307
70,2474
70,2447
70,1957
4,700
5,800
6,803
6,901
6,850
7,923
7,955
7,889
7,998
7,925
7,992
8,1161
8,1100
8,1135
8,998
8,1201
8,1197
8,1804
8,1311
8,848
8,989
9,1200
9,1069
9,1020
9,1101
10,1122
10,1109
10,1120
11,1150
11,1207
11,861
11,1098
11,1126
11,1186
11,1171
11,1183
11,1105
12,1115
13,1100
13,1027
13,1187
13,1557
13,1292
13,1198
14,1145
14,1140
14,1371
14,1323
14,1120
14,1205
15,1160
15,1147
15,1624
15,1720
15,1111
15,1118
15,1111
16,1155
16,1078
16,1832
16,1111
16,1078
16,1098
16,1072
17,1703
17,1607
17,1243
17,1172
17,1115
17,1212
18,1369
18,1163
18,1208
18,1146
19,1627
19,1181
19,1439
19,1120
20,1210
20,1832
21,1869
21,1377
21,1957
21,1198
21,1341
21,1212
21,1201
21,1172
21,1094
22,1060
22,1120
23,1750
23,1557
23,1078
23,1198
23,1192
23,1561
23,1559
23,1172
23,1630
23,1120
23,1212
24,1030
24,1257
24,1196
24,1208
24,1168
24,1334
25,1927
25,1402
25,1315
25,1348
25,1099
25,1415
25,1315
26,1496
26,1348
26,1297
26,1057
26,1083
27,1200
27,1094
27,1563
27,1289
27,1630
27,1402
27,1315
27,1415
27,1315
27,1120
27,1196
28,1674
28,1715
28,1502
28,1307
28,1315
28,1196
28,1145
29,1602
29,1573
29,1415
29,1316
29,1449
29,1341
30,1902
30,1699
30,1762
30,1402
30,1201
30,1402
30,1196
30,1345
30,1762
30,1183
30,1212
31,1689
31,1700
31,1449
32,1872
32,1172
32,1283
32,1630
32,1762
32,1224
33,1710
33,1602
34,1747
34,1756
34,1760
34,1630
34,1315
34,1998
34,1402
36,1961
37,1813
38,1683
38,1630
41,1889
41,1762
41,1762
42,1798
42,1630
42,1808
42,1762
43,1802
47,1810
47,1892
47,1630
47,1762
48,2002
48,1762
48,1630
49,1985
53,1992
55,1630
70,1803
70,2400
70,2864
70,2500
70,2100
70,2134
70,2247
70,2498
70,2548
70,2177
70,2098
70,2307
70,2474
70,2447
70,1957
